_id,level,unit,title,epoch,ts
6171757e6dddd3c0909f83a6,51.5309984,W,Potencia Casa,1634825588,2021-10-21 14:13:08
617175886dddd3c0909f83a7,15.27,W,Potencia Casa,1634825599,2021-10-21 14:13:19
617175926dddd3c0909f83a8,13.409,W,Potencia Casa,1634825608,2021-10-21 14:13:28
6171759c6dddd3c0909f83a9,3.224,W,Potencia Casa,1634825618,2021-10-21 14:13:38
617175a66dddd3c0909f83aa,9.5129992,W,Potencia Casa,1634825628,2021-10-21 14:13:48
617175b06dddd3c0909f83ab,85.6110016,W,Potencia Casa,1634825638,2021-10-21 14:13:58
617175ba6dddd3c0909f83ac,23.336,W,Potencia Casa,1634825648,2021-10-21 14:14:08
617175c46dddd3c0909f83ad,72.8420032,W,Potencia Casa,1634825659,2021-10-21 14:14:19
617175cf6dddd3c0909f83ae,23.331,W,Potencia Casa,1634825669,2021-10-21 14:14:29
617175d96dddd3c0909f83af,82.764,W,Potencia Casa,1634825679,2021-10-21 14:14:39
617175e36dddd3c0909f83b0,23.233,W,Potencia Casa,1634825689,2021-10-21 14:14:49
617175ed6dddd3c0909f83b1,81.3889984,W,Potencia Casa,1634825699,2021-10-21 14:14:59
617175f76dddd3c0909f83b2,23.218,W,Potencia Casa,1634825709,2021-10-21 14:15:09
617176016dddd3c0909f83b3,80.6869952,W,Potencia Casa,1634825719,2021-10-21 14:15:19
6171760b6dddd3c0909f83b4,23.249,W,Potencia Casa,1634825729,2021-10-21 14:15:29
617176156dddd3c0909f83b5,23.207,W,Potencia Casa,1634825739,2021-10-21 14:15:39
6171761f6dddd3c0909f83b6,17.161,W,Potencia Casa,1634825749,2021-10-21 14:15:49
617176296dddd3c0909f83b7,17.208,W,Potencia Casa,1634825760,2021-10-21 14:16:00
617176346dddd3c0909f83b8,17.347,W,Potencia Casa,1634825770,2021-10-21 14:16:10
6171763e6dddd3c0909f83b9,17.166,W,Potencia Casa,1634825780,2021-10-21 14:16:20
617176486dddd3c0909f83ba,26.034,W,Potencia Casa,1634825790,2021-10-21 14:16:30
617176526dddd3c0909f83bb,17.275,W,Potencia Casa,1634825800,2021-10-21 14:16:40
6171765c6dddd3c0909f83bc,85.2499968,W,Potencia Casa,1634825810,2021-10-21 14:16:50
617176666dddd3c0909f83bd,17.3419984,W,Potencia Casa,1634825822,2021-10-21 14:17:02
617176706dddd3c0909f83be,70.4339968,W,Potencia Casa,1634825834,2021-10-21 14:17:14
6171767a6dddd3c0909f83bf,17.337,W,Potencia Casa,1634825840,2021-10-21 14:17:20
617176846dddd3c0909f83c0,67.556,W,Potencia Casa,1634825851,2021-10-21 14:17:31
6171768f6dddd3c0909f83c1,17.352,W,Potencia Casa,1634825861,2021-10-21 14:17:41
617176996dddd3c0909f83c2,58.068,W,Potencia Casa,1634825871,2021-10-21 14:17:51
617176a36dddd3c0909f83c3,50.528,W,Potencia Casa,1634825884,2021-10-21 14:18:04
617176ad6dddd3c0909f83c4,64.8679936,W,Potencia Casa,1634825891,2021-10-21 14:18:11
617176b76dddd3c0909f83c5,63.6329984,W,Potencia Casa,1634825902,2021-10-21 14:18:22
617176c16dddd3c0909f83c6,60.8950016,W,Potencia Casa,1634825912,2021-10-21 14:18:32
617176cc6dddd3c0909f83c7,55.856,W,Potencia Casa,1634825922,2021-10-21 14:18:42
617176d66dddd3c0909f83c8,3.167,W,Potencia Casa,1634825932,2021-10-21 14:18:52
617176e06dddd3c0909f83c9,68.0469952,W,Potencia Casa,1634825945,2021-10-21 14:19:05
617176ea6dddd3c0909f83ca,69.9020032,W,Potencia Casa,1634825952,2021-10-21 14:19:12
617176f46dddd3c0909f83cb,23.223,W,Potencia Casa,1634825963,2021-10-21 14:19:23
617176fe6dddd3c0909f83cc,17.187,W,Potencia Casa,1634825973,2021-10-21 14:19:33
617177086dddd3c0909f83cd,77.7669952,W,Potencia Casa,1634825982,2021-10-21 14:19:42
617177126dddd3c0909f83ce,58.9620032,W,Potencia Casa,1634825993,2021-10-21 14:19:53
6171771c6dddd3c0909f83cf,17.383,W,Potencia Casa,1634826003,2021-10-21 14:20:03
617177276dddd3c0909f83d0,75.1569984,W,Potencia Casa,1634826013,2021-10-21 14:20:13
617177316dddd3c0909f83d1,91.9929984,W,Potencia Casa,1634826023,2021-10-21 14:20:23
6171773b6dddd3c0909f83d2,58.5689984,W,Potencia Casa,1634826033,2021-10-21 14:20:33
617177456dddd3c0909f83d3,82.6809984,W,Potencia Casa,1634826043,2021-10-21 14:20:43
6171774f6dddd3c0909f83d4,17.347,W,Potencia Casa,1634826053,2021-10-21 14:20:53
617177596dddd3c0909f83d5,68.2740032,W,Potencia Casa,1634826063,2021-10-21 14:21:03
617177636dddd3c0909f83d6,73.1569984,W,Potencia Casa,1634826073,2021-10-21 14:21:13
6171776d6dddd3c0909f83d7,17.192,W,Potencia Casa,1634826083,2021-10-21 14:21:23
617177776dddd3c0909f83d8,71.5609984,W,Potencia Casa,1634826094,2021-10-21 14:21:34
617177816dddd3c0909f83d9,82.3089984,W,Potencia Casa,1634826104,2021-10-21 14:21:44
6171778c6dddd3c0909f83da,31.046,W,Potencia Casa,1634826114,2021-10-21 14:21:54
617177966dddd3c0909f83db,67.964,W,Potencia Casa,1634826124,2021-10-21 14:22:04
617177a06dddd3c0909f83dc,56.7190016,W,Potencia Casa,1634826134,2021-10-21 14:22:14
617177aa6dddd3c0909f83dd,77.8649984,W,Potencia Casa,1634826144,2021-10-21 14:22:24
617177b46dddd3c0909f83de,29.956,W,Potencia Casa,1634826154,2021-10-21 14:22:34
617177be6dddd3c0909f83df,29.796,W,Potencia Casa,1634826164,2021-10-21 14:22:44
617177c86dddd3c0909f83e0,29.584,W,Potencia Casa,1634826174,2021-10-21 14:22:54
617177d26dddd3c0909f83e1,29.5069984,W,Potencia Casa,1634826184,2021-10-21 14:23:04
617177dc6dddd3c0909f83e2,41.0250016,W,Potencia Casa,1634826195,2021-10-21 14:23:15
617177e76dddd3c0909f83e3,95.2379968,W,Potencia Casa,1634826205,2021-10-21 14:23:25
617177f16dddd3c0909f83e4,40.028,W,Potencia Casa,1634826215,2021-10-21 14:23:35
617177fb6dddd3c0909f83e5,107.0770048,W,Potencia Casa,1634826225,2021-10-21 14:23:45
617178056dddd3c0909f83e6,52.4150016,W,Potencia Casa,1634826235,2021-10-21 14:23:55
6171780f6dddd3c0909f83e7,103.8889984,W,Potencia Casa,1634826245,2021-10-21 14:24:05
6171781a6dddd3c0909f83e8,53.96,W,Potencia Casa,1634826255,2021-10-21 14:24:15
617178246dddd3c0909f83e9,30.866,W,Potencia Casa,1634826266,2021-10-21 14:24:26
6171782e6dddd3c0909f83ea,82.164,W,Potencia Casa,1634826276,2021-10-21 14:24:36
617178386dddd3c0909f83eb,31.186,W,Potencia Casa,1634826286,2021-10-21 14:24:46
617178426dddd3c0909f83ec,81.3789952,W,Potencia Casa,1634826296,2021-10-21 14:24:56
6171784c6dddd3c0909f83ed,30.9790016,W,Potencia Casa,1634826306,2021-10-21 14:25:06
617178566dddd3c0909f83ee,79.1880064,W,Potencia Casa,1634826316,2021-10-21 14:25:16
617178606dddd3c0909f83ef,31.3,W,Potencia Casa,1634826326,2021-10-21 14:25:26
6171786a6dddd3c0909f83f0,79.8910016,W,Potencia Casa,1634826337,2021-10-21 14:25:37
617178756dddd3c0909f83f1,31.284,W,Potencia Casa,1634826347,2021-10-21 14:25:47
6171787f6dddd3c0909f83f2,31.8010016,W,Potencia Casa,1634826357,2021-10-21 14:25:57
617178896dddd3c0909f83f3,31.284,W,Potencia Casa,1634826367,2021-10-21 14:26:07
617178936dddd3c0909f83f4,31.2689984,W,Potencia Casa,1634826377,2021-10-21 14:26:17
6171789d6dddd3c0909f83f5,28.948,W,Potencia Casa,1634826388,2021-10-21 14:26:28
617178a86dddd3c0909f83f6,3.234,W,Potencia Casa,1634826398,2021-10-21 14:26:38
617178b26dddd3c0909f83f7,22.597,W,Potencia Casa,1634826408,2021-10-21 14:26:48
617178bc6dddd3c0909f83f8,21.688,W,Potencia Casa,1634826418,2021-10-21 14:26:58
617178c66dddd3c0909f83f9,20.51,W,Potencia Casa,1634826432,2021-10-21 14:27:12
617178d06dddd3c0909f83fa,19.9459984,W,Potencia Casa,1634826438,2021-10-21 14:27:18
617178da6dddd3c0909f83fb,19.435,W,Potencia Casa,1634826448,2021-10-21 14:27:28
617178e46dddd3c0909f83fc,16.2,W,Potencia Casa,1634826458,2021-10-21 14:27:38
617178ee6dddd3c0909f83fd,12.743,W,Potencia Casa,1634826468,2021-10-21 14:27:48
617178f86dddd3c0909f83fe,5.42,W,Potencia Casa,1634826479,2021-10-21 14:27:59
617179036dddd3c0909f83ff,36.2809984,W,Potencia Casa,1634826489,2021-10-21 14:28:09
6171790d6dddd3c0909f8400,38.266,W,Potencia Casa,1634826499,2021-10-21 14:28:19
617179176dddd3c0909f8401,4.9970004,W,Potencia Casa,1634826509,2021-10-21 14:28:29
617179216dddd3c0909f8402,26.313,W,Potencia Casa,1634826519,2021-10-21 14:28:39
6171792b6dddd3c0909f8403,19.802,W,Potencia Casa,1634826529,2021-10-21 14:28:49
617179356dddd3c0909f8404,58.6780032,W,Potencia Casa,1634826539,2021-10-21 14:28:59
6171793f6dddd3c0909f8405,5.25,W,Potencia Casa,1634826550,2021-10-21 14:29:10
617179496dddd3c0909f8406,15.001,W,Potencia Casa,1634826559,2021-10-21 14:29:19
617179536dddd3c0909f8407,38.074,W,Potencia Casa,1634826569,2021-10-21 14:29:29
6171795d6dddd3c0909f8408,32.0589984,W,Potencia Casa,1634826580,2021-10-21 14:29:40
617179676dddd3c0909f8409,29.9349984,W,Potencia Casa,1634826590,2021-10-21 14:29:50
617179726dddd3c0909f840a,42.7610016,W,Potencia Casa,1634826600,2021-10-21 14:30:00
6171797c6dddd3c0909f840b,92.1950016,W,Potencia Casa,1634826610,2021-10-21 14:30:10
617179866dddd3c0909f840c,82.9240064,W,Potencia Casa,1634826620,2021-10-21 14:30:20
617179906dddd3c0909f840d,96.9489984,W,Potencia Casa,1634826630,2021-10-21 14:30:30
6171799a6dddd3c0909f840e,90.9860032,W,Potencia Casa,1634826640,2021-10-21 14:30:40
617179a46dddd3c0909f840f,89.3470016,W,Potencia Casa,1634826650,2021-10-21 14:30:50
617179af6dddd3c0909f8410,13.58,W,Potencia Casa,1634826664,2021-10-21 14:31:04
617179b96dddd3c0909f8411,42.8230016,W,Potencia Casa,1634826671,2021-10-21 14:31:11
617179c36dddd3c0909f8412,28.83,W,Potencia Casa,1634826681,2021-10-21 14:31:21
617179cd6dddd3c0909f8413,50.916,W,Potencia Casa,1634826691,2021-10-21 14:31:31
617179d76dddd3c0909f8414,99.4190016,W,Potencia Casa,1634826701,2021-10-21 14:31:41
617179e16dddd3c0909f8415,188.9219968,W,Potencia Casa,1634826711,2021-10-21 14:31:51
617179eb6dddd3c0909f8416,270.9159936,W,Potencia Casa,1634826722,2021-10-21 14:32:02
617179f66dddd3c0909f8417,334.6540032,W,Potencia Casa,1634826732,2021-10-21 14:32:12
61717a006dddd3c0909f8418,240.4740096,W,Potencia Casa,1634826742,2021-10-21 14:32:22
61717a0a6dddd3c0909f8419,128.300992,W,Potencia Casa,1634826752,2021-10-21 14:32:32
61717a146dddd3c0909f841a,15.373,W,Potencia Casa,1634826762,2021-10-21 14:32:42
61717a1e6dddd3c0909f841b,1.948,W,Potencia Casa,1634826772,2021-10-21 14:32:52
61717a296dddd3c0909f841c,0.0,W,Potencia Casa,1634826783,2021-10-21 14:33:03
61717a336dddd3c0909f841d,0.0,W,Potencia Casa,1634826793,2021-10-21 14:33:13
61717a3d6dddd3c0909f841e,0.0,W,Potencia Casa,1634826803,2021-10-21 14:33:23
61717a476dddd3c0909f841f,0.0,W,Potencia Casa,1634826813,2021-10-21 14:33:33
61717a516dddd3c0909f8420,0.0,W,Potencia Casa,1634826823,2021-10-21 14:33:43
61717a5b6dddd3c0909f8421,0.0,W,Potencia Casa,1634826833,2021-10-21 14:33:53
61717a656dddd3c0909f8422,0.0,W,Potencia Casa,1634826843,2021-10-21 14:34:03
61717a6f6dddd3c0909f8423,0.0,W,Potencia Casa,1634826853,2021-10-21 14:34:13
61717a796dddd3c0909f8424,0.0,W,Potencia Casa,1634826863,2021-10-21 14:34:23
61717a836dddd3c0909f8425,0.0,W,Potencia Casa,1634826874,2021-10-21 14:34:34
61717a8d6dddd3c0909f8426,0.0,W,Potencia Casa,1634826884,2021-10-21 14:34:44
61717a986dddd3c0909f8427,0.0,W,Potencia Casa,1634826894,2021-10-21 14:34:54
61717aa26dddd3c0909f8428,0.0,W,Potencia Casa,1634826904,2021-10-21 14:35:04
61717aac6dddd3c0909f8429,0.0,W,Potencia Casa,1634826914,2021-10-21 14:35:14
61717ab66dddd3c0909f842a,0.0,W,Potencia Casa,1634826924,2021-10-21 14:35:24
61717ac06dddd3c0909f842b,0.0,W,Potencia Casa,1634826934,2021-10-21 14:35:34
61717aca6dddd3c0909f842c,0.0,W,Potencia Casa,1634826944,2021-10-21 14:35:44
61717ad46dddd3c0909f842d,0.0,W,Potencia Casa,1634826954,2021-10-21 14:35:54
61717ade6dddd3c0909f842e,0.0,W,Potencia Casa,1634826964,2021-10-21 14:36:04
61717ae86dddd3c0909f842f,0.0,W,Potencia Casa,1634826975,2021-10-21 14:36:15
61717af26dddd3c0909f8430,0.0,W,Potencia Casa,1634826985,2021-10-21 14:36:25
61717afd6dddd3c0909f8431,0.0,W,Potencia Casa,1634826995,2021-10-21 14:36:35
61717b076dddd3c0909f8432,0.0,W,Potencia Casa,1634827005,2021-10-21 14:36:45
61717b116dddd3c0909f8433,0.0,W,Potencia Casa,1634827015,2021-10-21 14:36:55
61717b1b6dddd3c0909f8434,0.0,W,Potencia Casa,1634827025,2021-10-21 14:37:05
61717b256dddd3c0909f8435,0.0,W,Potencia Casa,1634827035,2021-10-21 14:37:15
61717b2f6dddd3c0909f8436,0.0,W,Potencia Casa,1634827045,2021-10-21 14:37:25
61717b396dddd3c0909f8437,0.0,W,Potencia Casa,1634827055,2021-10-21 14:37:35
61717b436dddd3c0909f8438,0.0,W,Potencia Casa,1634827065,2021-10-21 14:37:45
61717b4d6dddd3c0909f8439,0.0,W,Potencia Casa,1634827076,2021-10-21 14:37:56
61717b586dddd3c0909f843a,0.0,W,Potencia Casa,1634827086,2021-10-21 14:38:06
61717b626dddd3c0909f843b,0.0,W,Potencia Casa,1634827096,2021-10-21 14:38:16
61717b6c6dddd3c0909f843c,0.0,W,Potencia Casa,1634827106,2021-10-21 14:38:26
61717b766dddd3c0909f843d,0.0,W,Potencia Casa,1634827116,2021-10-21 14:38:36
61717b806dddd3c0909f843e,0.0,W,Potencia Casa,1634827126,2021-10-21 14:38:46
61717b8a6dddd3c0909f843f,0.0,W,Potencia Casa,1634827136,2021-10-21 14:38:56
61717b946dddd3c0909f8440,0.0,W,Potencia Casa,1634827146,2021-10-21 14:39:06
